id,text,estimated_label
1,ور بی تو بامداد کنم روز محشر است,saadi
2,ساقی بیار جامی کز زهد توبه کردم,hafez
3,مرا هرآینه خاموش بودن اولی‌تر,saadi
4,تو ندانی که چرا در تو کسی خیره بماند,saadi
5,کاینان به دل ربودن مردم معینند,saadi
6,جان باختن آسان است اندر نظرت لیکن,saadi
7,گر خاک پای دوست خداوند شوق را,saadi
8,بی تو در دامن گلزار نخفتم یک شب,saadi
9,پرده بردار که هوش از تن عاقل برود,saadi
10,چرا نه در پی عزم دیار خود باشم,hafez
11,که زندگانی او در هلاک بودن اوست,saadi
12,که نه هر کو ورقی خواند معانی دانست,hafez
13,زلف آشفته و خوی کرده و خندان لب و مست,hafez
14,نسیم موی تو پیوند جان آگه ماست,hafez
15,من همان روز که روی تو بدیدم گفتم,saadi
16,اری اسامر لیلای لیله القمر,hafez
17,تو وفا گر کنی و گر نکنی,saadi
18,سودا مپز که آتش غم در دل تو نیست,saadi
19, سخت زیبا می‌روی یک بارگی,saadi
20,اگر چه رسم خوبان تندخوییست,hafez
21,کز حدیث من و حسن تو خبر می‌نرود,saadi
22,ای پسر جام می‌ام ده که به پیری برسی,hafez
23,بیا و گر همه دشنام می‌دهی شاید,saadi
24,من ترک وصال تو نگویم,saadi
25,نفسی بیا و بنشین سخنی بگوی و بشنو,saadi
26,سنگسان شو در قدم نی همچو آب,hafez
27,سر تا قدم وجود حافظ,hafez
28,گفتم ای غافل نبینی کوه با چندین وقار,saadi
29,راه ز پیش و دل ز پس واقعه‌ایست مشکلم,saadi
30,من تنک پوست نگفتم تو چنین سخت کمانی,saadi
31,غرقه حالی دست و پایی می‌زند,saadi
32,که هر که با تو به خلوت بود نه تنهاییست,saadi
33,من به خیال زاهدی گوشه‌نشین و طرفه آنک,hafez
34,سعدیا تسلیم فرمان شو که نیست,saadi
35,زانجا که پرده پوشی عفو کریم توست,hafez
36,در انتظار رویت ما و امیدواری,saadi
37,با محتسبم عیب مگویید که او نیز,saadi
38,جام مینایی می سد ره تنگ دلیست,hafez
39,زخم شمشیر غمت را ننهم مرهم کس,saadi
40,خطاست این که دل دوستان بیازاری,saadi
41,لیکن مجال گفت نباشد تو در سخن,saadi
42,کآیینه‌ایست جام جهان بین که آه از او,hafez
43,خود نبود و گر بود تا به قیامت آزری,saadi
44,دانند که در خرمن من بیشتر افتاد,saadi
45,جان از تو عزیزتر نباشد,saadi
46,هر دل که ز عشق توست خالی,saadi
47,گفت آن روز که این گنبد مینا می‌کرد,hafez
48,نزدی شاه رخ و فوت شد امکان حافظ,hafez
49,به یاد شخص نزارم که غرق خون دل است,hafez
50,بده ساقی می باقی که در جنت نخواهی یافت,hafez
51,تا به تماشای باغ میل چرا می‌کند,saadi
52,گفتم که نوش لعلت ما را به آرزو کشت,hafez
53,هر گلی بلبلی غزل خوان داشت,hafez
54,رهروی باید جهان سوزی نه خامی بی‌غمی,hafez
55, کس این کند که دل از یار خویش بردارد,saadi
56,میان این همه خواهندگان به من چه رسد,saadi
57,غرض ز مسجد و میخانه‌ام وصال شماست,hafez
58,یا شنیدی که در وجود آمد,saadi
59,بگذر از نام و ننگ خود حافظ,hafez
60,که همه عمر نه مشتاق لقای تو بود,saadi
61,گل ز حد برد تنعم نفسی رخ بنما,hafez
62,دیدار تو حل مشکلات است,saadi
63,به عشوه هم پیامی بر سر بیمار می‌آورد,hafez
64,وه که گر من بازبینم روی یار خویش را,saadi
65,وز لوح سینه نقشت هرگز نگشت زایل,hafez
66,تیری که زدی بر دلم از غمزه خطا رفت,saadi
67,عاقلان نقطه پرگار وجودند ولی,hafez
68,سرزنشها گر کند خار مغیلان غم مخور,hafez
69,اشتر که اختیارش در دست خود نباشد,saadi
70,آن جا که کار صومعه را جلوه می‌دهند,hafez
71,مجال من همین باشد که پنهان عشق او ورزم,saadi
72,گفته بودم که دل به کس ندهم,saadi
73,مگر کسی ز توام مژده‌ای فرازآرد,saadi
74, دوش از جناب آصف پیک بشارت آمد,hafez
75,نماز شام غریبان چو گریه آغازم,hafez
76,خار ار چه جان بکاهد گل عذر آن بخواهد,saadi
77,دیدم امروز بر زمین قمری,saadi
78,بدان هوس که به مستی ببوسم آن لب لعل,hafez
79,کآخر نداند بیش از این یا می‌کشد یا می‌برد,saadi
80,از لبش بوسی گدایی می‌کند,hafez
81,تو دم فقر ندانی زدن از دست مده,hafez
82,چو آتشیت نباشد چگونه برجوشی,saadi
83,که قیامت رسد این رشته به هم یا نرسد,saadi
84,پیرهن چاک و غزل خوان و صراحی در دست,hafez
85,تحمل می‌کنم با زخم چون مرهم نمی‌بینم,saadi
86,و از رشک چشم نرگس رعنا به خواب کن,hafez
87,سعدی به دام عشق تو در پای بند ماند,saadi
88,طاووس عرش می‌شنود صیت شهپرم,hafez
89,به جان و سر که نگردانم از وصال تو روی,saadi
90,گر تو با ما خوش درآیی ما از آن آسوده‌ایم,saadi
91,دوستان را قبای فتح دهیم,hafez
92,جامم به دست باشد و زلف نگار هم,hafez
93, عهد کردیم که بی دوست به صحرا نرویم,saadi
94,چنان ببست که ره نیست زیر دیر مغاک,hafez
95,جای تصور نماند دیگرم اندر ضمیر,saadi
96,گر می به جان دهندت بستان که پیش دانا,saadi
97,در این جهان ز برای دل رهی آورد,hafez
98,شکایت پیش از این حالت به نزدیکان و غمخواران,saadi
99,آیینه‌ای ندارم از آن آه می‌کشم,hafez
100,من درخور تو چه تحفه آرم,saadi
101,تا پیشترت بوسه دهم دست و کمان را,saadi
102,دلق و سجاده ناموس به میخانه فرست,hafez
103,شاخکی تازه برآورد صبا بر لب جوی,saadi
104,طالب چشمه خورشید درخشان نشود,hafez
105,تو می‌باید که باشی ور نه سهل است,saadi
106,انصاف شاه باد در این قصه یاورم,hafez
107,دوشم آن سنگ دل پریشان داشت,saadi
108,کو راهروی اهل دلی پاک سرشتی,hafez
109,گوییا باور نمی‌دارند روز داوری,hafez
110,ورم ز دست ملامت به جان بگردانی,saadi
111, من چون تو به دلبری ندیدم,saadi
112,خوش حلقه‌ایست لیک به در نیست راه از او,hafez
113,خلوت گزیده را به تماشا چه حاجت است,hafez
114,ای سخت کمان سست پیمان,saadi
115,جگر چون نافه‌ام خون گشت کم زینم نمی‌باید,hafez
116,کلک تو خوش نویسد در شان یار و اغیار,hafez
117,ضرورت است که گوید به سرو ماند راست,saadi
118,سایه دولت بر این کنج خراب انداختی,hafez
119,اگر آن طایر قدسی ز درم بازآید,hafez
120,ترک عاشق کش من مست برون رفت امروز,hafez
121,بباختم دل دیوانه و ندانستم,hafez
122, مژده وصل تو کو کز سر جان برخیزم,hafez
123,نهاده‌ایم مگر او به تیغ بردارد,hafez
124,ما سر اینک نهاده‌ایم به طوع,saadi
125,همی‌برند به عالم چو نافه ختنی,saadi
126,هر چه گفتیم در اوصاف کمالیت او,saadi
127,کس ندانم که به جان در طلبش پویان نیست,saadi
128, دوست می‌دارم من این نالیدن دلسوز را,saadi
129,آن که در دامنش آویخته باشد خاری,saadi
130,عاجز بماند در تو زبان فصاحتش,saadi
131, آمد گه آن که بوی گلزار,saadi
132,به دوستی که غلط می‌برد گمان ای دوست,saadi
133,نمی‌دانم رطب را چاشنی چیست,saadi
134,هرگزم نقش تو از لوح دل و جان نرود,hafez
135,مژدگانی بده ای نفس که سختی بگذشت,saadi
136,که نه خاطر تماشا نه هوای باغ دارد,saadi
137,تو را خود یک زمان با ما سر صحرا نمی‌باشد,saadi
138,یا رب هلاک من مکن الا به دست دوست,saadi
139,یا به خضاب و سرمه‌ای یا به عبیر و عنبری,saadi
140,دیدار خوبان اختیار از دست دانا می‌برد,saadi
141,ابروش کمان قتل عاشق,saadi
142,مرا گر دوستی با او به دوزخ می‌برد شاید,saadi
143,زمانه از ورق گل مثال روی تو بست,hafez
144,مرو به خواب که حافظ به بارگاه قبول,hafez
145,در میان پختگان عشق او خامم هنوز,hafez
146,پیکی ندوانید و سلامی نفرستاد,hafez
147,عبیرآمیز می‌آید شمالش,hafez
148,همای اوج سعادت به دام ما افتد,hafez
149, ای مرهم ریش و مونس جانم,saadi
150,به دست جور و جفا گوشمال داده بسی,saadi
151,دلم ز نرگس ساقی امان نخواست به جان,hafez
152,غم دل با تو نگویم که ندانی دردم,saadi
153,عشقت رسد به فریاد ار خود به سان حافظ,hafez
154,که التفات بود بر جهان و بر جانش,saadi
155,به گدایی ز در میکده زادی طلبیم,hafez
156, گر کسی سرو شنیدست که رفتست اینست,saadi
157,از شمع بپرسید که در سوز و گداز است,hafez
158,سری دارم مهیا بر کف دست,saadi
159,به تیغ می‌زد و می‌رفت و باز می‌نگریست,saadi
160,و گر در رنج سعدی راحت توست,saadi
161,امشب نظر به روی تو از خواب خوشترست,saadi
162,هش دار که گر وسوسه عقل کنی گوش,hafez
163,نمودی چند بار از خود که حافظ عهد و پیمانم,saadi
164,نسبت دوست به هر بی سر و پا نتوان کرد,saadi
165,بر در میکده می کن گذری بهتر از این,hafez
166,چندی به پای رفتم و چندی به سر شدم,saadi
167,چشم مخمور تو دارد ز دلم قصد جگر,hafez
168,هزار بار بگفتم که چشم نگشایم,saadi
169,گر مرا عشقت به سختی کشت سهل است این قدر,saadi
